id,t,initiator,regulator,effector
1,5.0,0.00948,2.878139,0.153297
1,5.1,0.009465,2.881468,0.149968
1,5.2,0.009453,2.884281,0.147155
1,5.3,0.009443,2.886656,0.14478
1,5.4,0.009434,2.888661,0.142775
1,5.5,0.009427,2.890353,0.141083
1,5.6,0.00942,2.891781,0.139655
1,5.7,0.009415,2.892986,0.13845
1,5.8,0.009411,2.894002,0.137433
1,5.9,0.009407,2.89486,0.136576
1,6.0,0.009404,2.895583,0.135853
1,6.1,0.009401,2.896193,0.135243
1,6.2,0.009399,2.896707,0.134729
1,6.3,0.009397,2.89714,0.134295
1,6.4,0.009396,2.897506,0.13393
1,6.5,0.009394,2.897814,0.133622
1,6.6,0.009393,2.898074,0.133362
1,6.7,0.009392,2.898293,0.133143
1,6.8,0.009392,2.898478,0.132958
1,6.9,0.009391,2.898633,0.132802
1,7.0,0.00939,2.898765,0.132671
1,7.1,0.00939,2.898875,0.13256
1,7.2,0.00939,2.898969,0.132467
1,7.3,0.009389,2.899047,0.132388
1,7.4,0.009389,2.899114,0.132322
1,7.5,0.009389,2.899169,0.132266
1,7.6,0.009388,2.899217,0.132219
1,7.7,0.009388,2.899256,0.132179
1,7.8,0.009388,2.89929,0.132146
1,7.9,0.009388,2.899318,0.132118
1,8.0,0.009388,2.899342,0.132094
1,8.1,0.009388,2.899362,0.132074
1,8.2,0.009388,2.899379,0.132057
1,8.3,0.009388,2.899393,0.132043
1,8.4,0.009388,2.899405,0.132031
1,8.5,0.009388,2.899415,0.132021
1,8.6,0.009388,2.899423,0.132012
1,8.7,0.009388,2.899431,0.132005
1,8.8,0.009388,2.899437,0.131999
1,8.9,0.009388,2.899442,0.131994
1,9.0,0.009388,2.899446,0.13199
1,9.1,0.009387,2.89945,0.131986
1,9.2,0.009387,2.899453,0.131983
1,9.3,0.009387,2.899455,0.13198
1,9.4,0.009387,2.899458,0.131978
1,9.5,0.009387,2.899459,0.131976
1,9.6,0.009387,2.899461,0.131975
1,9.7,0.009387,2.899462,0.131973
1,9.8,0.009387,2.899463,0.131972
1,9.9,0.009387,2.899464,0.131971
1,10.0,0.009387,2.899465,0.131971
2,0.0,0.038296,0.403729,0.820284
2,0.1,0.043386,0.407032,0.816981
2,0.2,0.048031,0.409678,0.814335
2,0.3,0.05229,0.411718,0.812295
2,0.4,0.056214,0.413196,0.810817
2,0.5,0.059846,0.414154,0.809859
2,0.6,0.063223,0.414631,0.809382
2,0.7,0.066376,0.41466,0.809353
2,0.8,0.069333,0.414274,0.809739
2,0.9,0.07212,0.413502,0.810511
2,1.0,0.074758,0.41237,0.811643
2,1.1,0.077266,0.410901,0.813112
2,1.2,0.079663,0.409118,0.814895
2,1.3,0.081962,0.407039,0.816974
2,1.4,0.08418,0.404683,0.81933
2,1.5,0.086328,0.402066,0.821947
2,1.6,0.088418,0.3992,0.824813
2,1.7,0.09046,0.3961,0.827913
2,1.8,0.092466,0.392777,0.831236
2,1.9,0.094443,0.389241,0.834772
2,2.0,0.096399,0.385501,0.838512
2,2.1,0.098344,0.381565,0.842448
2,2.2,0.100283,0.37744,0.846573
2,2.3,0.102224,0.373133,0.85088
2,2.4,0.104174,0.36865,0.855363
2,2.5,0.106137,0.363995,0.860018
2,2.6,0.108121,0.359173,0.86484
2,2.7,0.11013,0.354188,0.869825
2,2.8,0.112171,0.349044,0.874969
2,2.9,0.114248,0.343743,0.88027
2,3.0,0.116366,0.33829,0.885723
2,3.1,0.11853,0.332687,0.891326
2,3.2,0.120746,0.326937,0.897076
2,3.3,0.123018,0.321042,0.902971
2,3.4,0.12535,0.315006,0.909007
2,3.5,0.127748,0.308831,0.915182
2,3.6,0.130216,0.30252,0.921493
2,3.7,0.132759,0.296077,0.927936
2,3.8,0.13538,0.289505,0.934508
2,3.9,0.138086,0.282809,0.941204
2,4.0,0.140879,0.275992,0.948021
2,4.1,0.143765,0.26906,0.954953
2,4.2,0.146748,0.262019,0.961994
2,4.3,0.149833,0.254876,0.969138
2,4.4,0.153023,0.247636,0.976377
2,4.5,0.156322,0.240309,0.983704
2,4.6,0.159736,0.232904,0.991109
2,4.7,0.163268,0.22543,0.998583
2,4.8,0.166921,0.217899,1.006114
2,4.9,0.170698,0.210323,1.01369
2,5.0,0.174604,0.202716,1.021297
2,5.1,0.178642,0.195092,1.028921
2,5.2,0.182813,0.187467,1.036546
2,5.3,0.18712,0.179858,1.044155
2,5.4,0.191565,0.172284,1.051729
2,5.5,0.196149,0.164763,1.05925
2,5.6,0.200873,0.157315,1.066698
2,5.7,0.205738,0.149962,1.074051
2,5.8,0.210743,0.142724,1.081289
2,5.9,0.215887,0.135624,1.088389
2,6.0,0.221168,0.128683,1.09533
2,6.1,0.226585,0.121922,1.102091
2,6.2,0.232134,0.115363,1.10865
2,6.3,0.237812,0.109025,1.114988
2,6.4,0.243614,0.102926,1.121087
2,6.5,0.249536,0.097083,1.12693
2,6.6,0.255572,0.09151,1.132503
2,6.7,0.261716,0.08622,1.137793
2,6.8,0.267962,0.08122,1.142793
2,6.9,0.274303,0.076518,1.147495
2,7.0,0.280731,0.072116,1.151897
2,7.1,0.287239,0.068014,1.155999
2,7.2,0.29382,0.064209,1.159804
2,7.3,0.300466,0.060693,1.16332
2,7.4,0.30717,0.057459,1.166554
2,7.5,0.313924,0.054495,1.169518
2,7.6,0.320722,0.051788,1.172225
2,7.7,0.327556,0.049323,1.17469
2,7.8,0.334421,0.047084,1.176929
2,7.9,0.34131,0.045055,1.178958
2,8.0,0.348219,0.04322,1.180793
2,8.1,0.35514,0.041561,1.182452
2,8.2,0.362071,0.040062,1.183951
2,8.3,0.369007,0.038708,1.185305
2,8.4,0.375944,0.037484,1.186529
2,8.5,0.382878,0.036377,1.187636
2,8.6,0.389806,0.035372,1.188641
