id,t,x0,x1
0,0.0,2.629732,6.444636
0,0.4,1.027849,6.047921
0,0.8,1.828148,5.862895
0,1.2,0.64031,5.062165
0,1.6,1.438753,4.565852
0,2.0,0.915026,4.025412
0,2.4,0.927525,3.491273
0,2.8,1.20558,3.162728
0,3.2,1.626121,3.12925
0,3.6,2.054358,3.399472
0,4.0,2.331419,3.86817
0,4.4,2.357993,4.359175
0,4.8,2.095166,4.670777
0,5.2,1.552018,4.605441
0,5.6,0.979119,4.116271
0,6.0,0.911089,3.567816
0,6.4,1.152462,3.201494
0,6.8,1.554028,3.11726
0,7.2,1.98968,3.341405
0,7.6,2.298059,3.786081
0,8.0,2.368469,4.283784
0,8.4,2.1543,4.635898
0,8.8,1.65405,4.642056
0,9.2,1.049023,4.207782
0,9.6,0.896156,3.647063
0,10.0,1.101164,3.244019
0,10.4,1.483222,3.110049
0,10.8,1.924025,3.287473
0,11.2,2.261963,3.706201
0,11.6,2.374996,4.207879
0,12.0,2.208031,4.596803
0,12.4,1.751118,4.670619
0,12.8,1.130106,4.298614
0,13.2,0.88588,3.730242
0,13.6,1.05277,3.292113
0,14.0,1.413771,3.109457
0,14.4,1.856381,3.238822
0,14.8,2.221394,3.628445
0,15.2,2.375865,4.130156
0,15.6,2.255408,4.551498
0,16.0,1.842885,4.689013
0,16.4,1.221328,4.385435
0,16.8,0.883953,3.816777
0,17.2,1.009113,3.346302
0,17.6,1.346964,3.116866
0,18.0,1.78721,3.197183
0,18.4,2.175754,3.554125
0,18.8,2.369827,4.051041
0,19.2,2.295051,4.499436
0,19.6,1.927745,4.695653
0,20.0,1.319437,4.464078
0,20.4,0.894825,3.905572
0,20.8,0.972021,3.406667
0,21.2,1.283991,3.133104
0,21.6,1.717184,3.163877
0,22.0,2.124861,3.484438
0,22.4,2.356128,3.971187
0,22.8,2.326075,4.440635
0,23.2,2.004606,4.689867
0,23.6,1.420845,4.531362
0,24.0,0.921915,3.995703
0,24.4,0.942236,3.472966
0,24.8,1.225158,3.158048
0,25.2,1.646749,3.139097
0,25.6,2.068961,3.419755
0,26.0,2.334898,3.891045
0,26.4,2.348706,4.375702
0,26.8,2.073572,4.672378
0,27.2,1.522731,4.58626
0,27.6,0.966441,4.086765
0,28.0,0.919064,3.544841
0,28.4,1.169859,3.190825
0,28.8,1.576066,3.122087
0,29.2,2.008636,3.359738
