id,t,x0,x1
0,0.0,3.761219,6.670095
0,0.4,1.989845,7.17384
0,0.8,0.317043,6.049714
0,1.2,0.369852,5.197242
0,1.6,0.45157,4.408743
0,2.0,0.570247,3.710614
0,2.4,0.74798,3.147805
0,2.8,1.00916,2.78522
0,3.2,1.343918,2.684015
0,3.6,1.665512,2.839651
0,4.0,1.855122,3.15011
0,4.4,1.841909,3.454581
0,4.8,1.629536,3.593712
0,5.2,1.320856,3.483923
0,5.6,1.129402,3.210506
0,6.0,1.163676,2.96266
0,6.4,1.340722,2.857869
0,6.8,1.549893,2.921508
0,7.2,1.694683,3.103269
0,7.6,1.713672,3.303309
0,8.0,1.600163,3.415201
0,8.4,1.413557,3.37723
0,8.8,1.270501,3.220012
0,9.2,1.25722,3.049051
0,9.6,1.356621,2.957641
0,10.0,1.49809,2.980331
0,10.4,1.608493,3.093029
0,10.8,1.637299,3.230957
0,11.2,1.573404,3.319563
0,11.6,1.452606,3.311411
0,12.0,1.347543,3.216643
0,12.4,1.320494,3.097784
0,12.8,1.375852,3.022615
0,13.2,1.471848,3.024779
0,13.6,1.555294,3.094908
0,14.0,1.585745,3.19097
0,14.4,1.55058,3.260185
0,14.8,1.471006,3.265819
0,15.2,1.394223,3.208573
0,15.6,1.364949,3.126164
0,16.0,1.394328,3.066512
0,16.4,1.458865,3.058713
0,16.8,1.521112,3.101546
0,17.2,1.549498,3.168219
0,17.6,1.531538,3.22147
0,18.0,1.479175,3.232994
0,18.4,1.423468,3.199113
0,18.8,1.396495,3.142452
0,19.2,1.410561,3.09635
0,19.6,1.453287,3.084452
0,20.0,1.499034,3.109703
0,20.4,1.523742,3.155529
0,20.8,1.515997,3.195864
0,21.2,1.481906,3.209117
0,21.6,1.441872,3.18986
0,22.0,1.418832,3.151356
0,22.4,1.424095,3.116485
0,22.8,1.451832,3.103723
0,23.2,1.484941,3.117792
0,23.6,1.505488,3.148871
0,24.0,1.503589,3.178955
0,24.4,1.481779,3.191781
0,24.8,1.453323,3.181571
0,25.2,1.434525,3.155777
0,25.6,1.43497,3.129886
0,26.0,1.452551,3.117935
0,26.4,1.476146,3.125062
0,26.8,1.492663,3.1458
0,27.2,1.493885,3.167904
0,27.6,1.480267,3.179288
0,28.0,1.460284,3.174541
0,28.4,1.44543,3.157549
0,28.8,1.443465,3.138643
0,29.2,1.454279,3.128254
0,29.6,1.470836,3.13122
0,30.0,1.483761,3.144797
0,30.4,1.48644,3.160803
0,30.8,1.478214,3.170377
0,31.2,1.464363,3.168802
0,31.6,1.452913,3.15783
0,32.0,1.449951,3.144236
0,32.4,1.456343,3.135632
0,32.8,1.467781,3.13623
0,33.2,1.47767,3.144919
0,33.6,1.480829,3.156343
0,34.0,1.476086,3.164097
0,34.4,1.466621,3.164253
0,34.8,1.457973,3.157339
0,35.2,1.454806,3.14771
0,35.6,1.458374,3.140828
0,36.0,1.466149,3.140182
0,36.4,1.473569,3.145589
0,36.8,1.47667,3.153626
0,37.2,1.474124,3.159727
0,37.6,1.467757,3.160733
0,38.0,1.46134,3.156509
0,38.4,1.458379,3.149787
0,38.8,1.460194,3.14443
0,39.2,1.465386,3.143224
0,39.6,1.470858,3.146469
0,40.0,1.473633,3.15204
1,0.0,3.965627,9.616746
1,0.4,0.171897,9.087479
1,0.8,0.170736,8.523205
1,1.2,0.18293,7.968133
1,1.6,0.19685,7.420648
1,2.0,0.212866,6.881887
1,2.4,0.231452,6.353243
1,2.8,0.253226,5.836445
1,3.2,0.279006,5.333662
1,3.6,0.309882,4.847648
1,4.0,0.347322,4.381954
1,4.4,0.393316,3.941199
1,4.8,0.450544,3.53145
1,5.2,0.522504,3.160671
1,5.6,0.613377,2.839127
1,6.0,0.727024,2.579286
1,6.4,0.864049,2.394227
1,6.8,1.016564,2.293172
1,7.2,1.164061,2.274455
1,7.6,1.277292,2.320143
1,8.0,1.331114,2.397703
1,8.4,1.318012,2.469534
1,8.8,1.255073,2.506695
1,9.2,1.179769,2.500859
1,9.6,1.129851,2.465646
1,10.0,1.120269,2.424131
1,10.4,1.14213,2.394583
1,10.8,1.17723,2.384839
1,11.2,1.208751,2.39315
1,11.6,1.225858,2.411537
1,12.0,1.225505,2.430121
1,12.4,1.212032,2.441298
1,12.8,1.194204,2.442355
1,13.2,1.180566,2.435499
1,13.6,1.175646,2.425636
1,14.0,1.179045,2.417546
1,14.4,1.187107,2.413973
1,14.8,1.195375,2.415125
1,15.2,1.20053,2.419293
1,15.6,1.201335,2.424017
1,16.0,1.198591,2.427249
1,16.4,1.194326,2.428072
1,16.8,1.190669,2.426787
1,17.2,1.188941,2.424471
1,17.6,1.189325,2.422329
1,18.0,1.191103,2.421176
1,18.4,1.193191,2.421211
1,18.8,1.194671,2.422105
1,19.2,1.195109,2.423274
1,19.6,1.194605,2.424174
1,20.0,1.193608,2.424514
1,20.4,1.19265,2.424305
1,20.8,1.192107,2.423776
1,21.2,1.192087,2.423225
1,21.6,1.192461,2.422878
1,22.0,1.192973,2.422822
1,22.4,1.193381,2.423002
1,22.8,1.193549,2.423283
1,23.2,1.193473,2.423526
1,23.6,1.193247,2.423642
1,24.0,1.193002,2.42362
1,24.4,1.192842,2.423503
1,24.8,1.192809,2.423365
1,25.2,1.192882,2.423266
1,25.6,1.193004,2.423236
1,26.0,1.193113,2.423268
1,26.4,1.193168,2.423334
1,26.8,1.193162,2.423398
1,27.2,1.193113,2.423434
1,27.6,1.193052,2.423436
1,28.0,1.193007,2.423412
1,28.4,1.192992,2.423378
1,28.8,1.193004,2.42335
1,29.2,1.193033,2.423339
1,29.6,1.193061,2.423344
1,30.0,1.193078,2.423359
1,30.4,1.19308,2.423375
1,30.8,1.19307,2.423386
1,31.2,1.193055,2.423388
1,31.6,1.193043,2.423383
